Name,Category,Parts,Total LOC
main_1A,Control,1,15
get_and_confirm_input,I/O,1,9
read_csv_file,I/O,1,4
choose_from_list,I/O,1,13
mean,Calculation,1,9
standard_deviation,Calculation,1,10
main_1B,Control,1,8
read_file,I/O,1,4
write_file,I/O,1,14
binary_choice,I/O,1,5
yes_no_prompt,I/O,1,5
main_2A,Control,1,12
is_single_line_comment,Predicate,1,4
is_multi_line_comment,Predicate,1,2
count_physical_loc,Calculation,1,20
main_2B,Control,1,19
read_numbers_from_file,I/O,1,8
write_numbers_to_file,I/O,1,4
prompt_for_output_file,I/O,1,7
add_file,Control,1,24
modify_file,Control,1,25
module_from_file_path,Calculation,1,7
find_files_matching,I/O,1,6
size_ranges,Calculation,1,6
